ensembl_gene_id,mgi_symbol,group1_1,group1_2,group1_3
ENSMUSG00000037709,Fam13a,19,32,19
ENSMUSG00000006344,Ggt5,18,7,340
ENSMUSG00000073610,Gm10549,0,2,7
ENSMUSG00000022101,Fgf17,4,8,0
ENSMUSG00000017412,Cacnb4,99,79,189
ENSMUSG00000025515,Muc2,15,13,16
ENSMUSG00000027875,Hmgcs2,19,32,26
ENSMUSG00000017607,Tns4,178,139,21
ENSMUSG00000027931,Npr1,25,19,6
ENSMUSG00000026768,Itga8,1332,431,296
ENSMUSG00000094403,Mir692-2a,0,2,0
ENSMUSG00000086882,Gm13352,7,2,3
ENSMUSG00000033910,Gucy1a3,1101,577,6613
ENSMUSG00000045392,Olfr1033,94,106,92
ENSMUSG00000097875,Gm26704,3,14,25
ENSMUSG00000031342,Gpm6b,572,773,6619
ENSMUSG00000025889,Snca,12,34,0
ENSMUSG00000040740,Slc25a34,12,13,4
ENSMUSG00000078868,Gm14412,26,22,51
ENSMUSG00000083998,Prdx2-rs3,3,4,3
ENSMUSG00000095400,Muc2,1,0,2
ENSMUSG00000024663,Rab3il1,94,108,659
ENSMUSG00000033715,Akr1c14,774,689,888
ENSMUSG00000022756,Slc7a4,16,57,35
ENSMUSG00000086711,Gm15482,22,21,49
ENSMUSG00000049985,Ankrd55,310,232,306
ENSMUSG00000004837,Grap,33,47,24
ENSMUSG00000073490,AI607873,37,54,60
ENSMUSG00000023959,Clic5,906,352,75
ENSMUSG00000027692,Tnik,213,103,72
ENSMUSG00000086655,C330018A13Rik,3,9,3
ENSMUSG00000048138,Dmrt2,3,4,20
ENSMUSG00000085632,Gm12381,12,6,17
ENSMUSG00000037860,Aim2,85,103,185
ENSMUSG00000022041,Chrna2,6,6,11
ENSMUSG00000089951,Gm14435,3,1,3
ENSMUSG00000080928,Hmgb1-ps6,0,3,0
ENSMUSG00000078869,Gm14409,1,0,18
ENSMUSG00000027508,Pag1,103,96,630
ENSMUSG00000066026,Dhrs3,1817,2674,1941
ENSMUSG00000092512,Gm4152,0,0,0
ENSMUSG00000070138,Mir452,0,4,3
ENSMUSG00000020263,Appl2,813,1169,1471
ENSMUSG00000016356,Col20a1,84,105,132
ENSMUSG00000092035,Peg10,441,478,835
ENSMUSG00000007279,Scube2,8,6,15
ENSMUSG00000046314,Stxbp6,27,15,25
ENSMUSG00000080844,Gm14107,10,9,1
ENSMUSG00000025083,Afap1l2,377,318,1795
ENSMUSG00000086824,4930448D08Rik,9,6,2
ENSMUSG00000040093,Bmf,152,123,359
ENSMUSG00000043458,Pcdhb12,24,25,25
ENSMUSG00000083008,Gm12053,0,0,1
ENSMUSG00000082947,Gm12587,0,1,1
ENSMUSG00000040723,Rcsd1,80,57,100
ENSMUSG00000097336,Fendrr,65,81,707
ENSMUSG00000046178,Nxph1,25,37,125
ENSMUSG00000038910,Plcl2,66,253,140
ENSMUSG00000079190,,2,4,5
ENSMUSG00000047638,Nr1h4,57,47,189
ENSMUSG00000093026,Gm25301,0,0,2
ENSMUSG00000025551,Fgf14,152,312,101
ENSMUSG00000089922,3110039M20Rik,106,203,13
